,lr_coef,,,tf-idf
0,-1.185859753,,amazing,2.949097569
1,0.330913038,,area,3.433405186
2,0.439223517,,atmosphere,3.334864483
3,-0.350162686,,awesome,3.480869958
4,-0.730685443,,bad,3.706504835
5,-1.432359984,,bar,3.366380352
6,-0.803768778,,beer,3.794326421
7,0.381760542,,best,2.743313516
8,0.301589438,,better,3.26846546
9,0.037715906,,bit,3.483717695
10,-0.77539285,,bread,3.757915356
11,0.887055015,,burger,3.92451127
12,-0.612644182,,came,2.962342796
13,-0.117223149,,cheese,3.332946495
14,-0.291970262,,chicken,2.952602032
15,-0.399101059,,come,3.076264249
16,0.198554012,,day,3.55729795
17,-0.069502558,,definitely,2.888669536
18,-0.346189167,,delicious,2.643908305
19,-0.011988212,,did,3.246503738
20,-0.844317921,,didn,3.221373997
21,-1.231176391,,dinner,3.231156384
22,0.087507088,,dish,3.835148416
23,-0.286317656,,don,3.010744147
24,-0.108795737,,drinks,3.543011993
25,-0.649172978,,eat,3.129353591
26,-0.651839109,,excellent,3.389712739
27,-0.523317276,,experience,3.14345873
28,0.38802129,,favorite,3.463253013
29,0.35728316,,flavor,3.642140327
30,-0.773511346,,food,1.58271079
31,0.014546628,,fresh,3.100753799
32,0.846476089,,fried,3.687750838
33,-0.355060595,,friendly,2.957539535
34,1.943437747,,fries,3.856266497
35,0.747784333,,going,3.52874079
36,-0.833579236,,good,1.868450624
37,-1.113633308,,got,2.970737723
38,-0.922298156,,great,1.952282271
39,0.393383456,,happy,3.706504835
40,-0.285065536,,hot,3.737607145
41,1.119172779,,just,2.398834367
42,0.797602286,,know,3.509444618
43,0.220331671,,like,2.405088069
44,-0.258951591,,little,2.992038644
45,-0.391262844,,ll,3.668805752
46,-0.047459734,,love,3.00780517
47,0.72494487,,lunch,3.354327742
48,0.788156786,,make,3.254408359
49,-0.175714637,,meal,3.162537414
50,0.477068844,,meat,3.751604712
51,-0.448656766,,menu,2.819411279
52,-0.518112079,,minutes,3.797126691
53,0.491703153,,new,3.659731764
54,0.578373854,,nice,2.813694756
55,-0.855711038,,night,3.370748732
56,-0.057869708,,order,3.00631127
57,-0.069446651,,ordered,2.733543312
58,-1.00045081,,orlando,2.908476096
59,-0.409918205,,people,3.393369942
60,-0.269257157,,pizza,4.12266164
61,-0.061453365,,place,1.914578342
62,-0.309983697,,pork,3.796395429
63,-0.797395537,,pretty,3.254479218
64,-0.6278408,,price,3.629688158
65,-1.064949992,,really,2.608932434
66,-0.807319377,,recommend,3.292685707
67,-1.368246982,,restaurant,2.552337744
68,1.075840929,,rice,3.719845093
69,-0.318242297,,right,3.417264957
70,-0.469472552,,said,3.732679615
71,-0.458210258,,salad,3.385341678
72,0.252488093,,sauce,3.247769917
73,0.743750227,,say,3.462118583
74,-0.011331402,,server,3.269472003
75,-0.515559251,,service,2.046454261
76,0.400073064,,shrimp,3.729825895
77,0.568297299,,small,3.513935301
78,-0.445362271,,staff,3.056595334
79,-0.637729826,,steak,3.748464262
80,0.133224984,,sure,3.426648404
81,-1.157731952,,sushi,3.871647405
82,-0.121940018,,sweet,3.701284631
83,0.311691582,,table,3.15905309
84,-0.387340815,,taste,3.626804828
85,0.039718523,,tasty,3.536508365
86,-0.196394476,,think,3.516602582
87,0.486876755,,time,2.469519516
88,-0.441162083,,times,3.652531394
89,0.439965083,,took,3.666342301
90,0.419839837,,tried,3.533881229
91,0.216542244,,try,2.823823862
92,-1.272744412,,ve,2.903076083
93,-0.857915088,,visit,3.688297436
94,-0.222712567,,wait,3.304684073
95,-0.050740068,,want,3.525390391
96,-0.793308888,,wasn,3.624134874
97,1.153786182,,way,3.419518996
98,0.549598656,,went,3.147780313
99,-0.591165879,,worth,3.553755073
100,-0.017324371,,,
101,0.006105905,,,
102,0.148754784,,,
103,-0.000850999,,,
